"","MovieID","Action","Adventure","Animation","Children.s","Comedy","Crime","Documentary","Drama","Fantasy","Film.Noir","Horror","Musical","Mystery","Romance","Sci.Fi","Thriller","War","Western","ave_ratings","Title"
"69",318,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.555,"Shawshank Redemption, The (1994)"
"172",858,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.525,"Godfather, The (1972)"
"100",50,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.517,"Usual Suspects, The (1995)"
"13",527,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.51,"Schindler's List (1993)"
"53",1198,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.478,"Raiders of the Lost Ark (1981)"
"163",904,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,4.476,"Rear Window (1954)"
"22",260,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,4.454,"Star Wars: Episode IV - A New Hope (1977)"
"162",750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4.45,"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)"
"129",912,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4.413,"Casablanca (1942)"
"17",2762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.406,"Sixth Sense, The (1999)"
"117",913,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,4.396,"Maltese Falcon, The (1941)"
"1",1193,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.391,"One Flew Over the Cuckoo's Nest (1975)"
"169",923,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.389,"Citizen Kane (1941)"
"112",908,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.384,"North by Northwest (1959)"
"133",1221,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.358,"Godfather: Part II, The (1974)"
"54",593,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.352,"Silence of the Lambs, The (1991)"
"155",1252,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,4.339,"Chinatown (1974)"
"24",2028,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.337,"Saving Private Ryan (1998)"
"85",1136,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.335,"Monty Python and the Holy Grail (1974)"
"138",2324,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.33,"Life Is Beautiful (La Vita è bella) (1997)"
"187",1234,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,4.32,"Sting, The (1973)"
"44",2858,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.317,"American Beauty (1999)"
"55",2571,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.316,"Matrix, The (1999)"
"4",1197,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.304,"Princess Bride, The (1987)"
"152",1233,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.303,"Boat, The (Das Boot) (1981)"
"51",1196,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,4.293,"Star Wars: Episode V - The Empire Strikes Back (1980)"
"98",296,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.278,"Pulp Fiction (1994)"
"33",1213,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.275,"GoodFellas (1990)"
"182",541,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,4.273,"Blade Runner (1982)"
"26",608,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,4.255,"Fargo (1996)"
"45",1225,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.252,"Amadeus (1984)"
"177",969,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,4.252,"African Queen, The (1951)"
"159",1278,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,4.251,"Young Frankenstein (1974)"
"6",919,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,4.248,"Wizard of Oz, The (1939)"
"72",1247,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,4.246,"Graduate, The (1967)"
"207",1208,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.243,"Apocalypse Now (1979)"
"5",2804,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.239,"Christmas Story, A (1983)"
"41",110,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.235,"Braveheart (1995)"
"21",2692,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,4.225,"Run Lola Run (Lola rennt) (1998)"
"25",3114,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.219,"Toy Story 2 (1999)"
"99",1617,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,4.219,"L.A. Confidential (1997)"
"203",1219,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,4.219,"Psycho (1960)"
"81",1304,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.216,"Butch Cassidy and the Sundance Kid (1969)"
"145",1358,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.208,"Sling Blade (1996)"
"201",1242,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.193,"Glory (1989)"
"136",111,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.184,"Taxi Driver (1976)"
"192",1288,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,4.18,"This Is Spinal Tap (1984)"
"105",1704,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.176,"Good Will Hunting (1997)"
"87",1214,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,4.16,"Alien (1979)"
"37",3147,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,4.155,"Green Mile, The (1999)"
"92",1240,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.152,"Terminator, The (1984)"
"19",1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.147,"Toy Story (1995)"
"186",1230,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.142,"Annie Hall (1977)"
"116",1089,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.136,"Reservoir Dogs (1992)"
"78",1291,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.133,"Indiana Jones and the Last Crusade (1989)"
"57",2396,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.127,"Shakespeare in Love (1998)"
"176",1200,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4.126,"Aliens (1986)"
"77",2997,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.125,"Being John Malkovich (1999)"
"164",1294,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,4.125,"M*A*S*H (1970)"
"88",1036,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.122,"Die Hard (1988)"
"8",2918,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.117,"Ferris Bueller's Day Off (1986)"
"204",1222,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.111,"Full Metal Jacket (1987)"
"34",3578,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.106,"Gladiator (2000)"
"96",47,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,4.106,"Seven (Se7en) (1995)"
"202",1258,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.105,"Shining, The (1980)"
"63",457,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.103,"Fugitive, The (1993)"
"36",1259,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4.097,"Stand by Me (1986)"
"60",1090,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4.09,"Platoon (1986)"
"90",1387,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4.09,"Jaws (1975)"
"71",356,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,4.088,"Forrest Gump (1994)"
"196",1206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4.078,"Clockwork Orange, A (1971)"
"111",2959,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.077,"Fight Club (1999)"
"18",150,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.074,"Apollo 13 (1995)"
"153",1307,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,4.073,"When Harry Met Sally... (1989)"
"170",924,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,4.069,"2001: A Space Odyssey (1968)"
"43",589,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,4.059,"Terminator 2: Judgment Day (1991)"
"20",1961,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.053,"Rain Man (1988)"
"73",3421,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.053,"Animal House (1978)"
"35",1610,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4.052,"Hunt for Red October, The (1990)"
"83",3671,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4.047,"Blazing Saddles (1974)"
"32",1210,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,4.023,"Star Wars: Episode VI - Return of the Jedi (1983)"
"75",1394,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4.021,"Raising Arizona (1987)"
"42",3471,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,4.014,"Close Encounters of the Third Kind (1977)"
"27",2194,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,4.008,"Untouchables, The (1987)"
"64",920,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3.997,"Gone with the Wind (1939)"
"131",1674,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,3.996,"Witness (1985)"
"12",1270,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.99,"Back to the Future (1985)"
"9",2791,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971,"Airplane! (1980)"
"76",1079,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.971,"Fish Called Wanda, A (1988)"
"14",1097,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,3.965,"E.T. the Extra-Terrestrial (1982)"
"47",1265,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.953,"Groundhog Day (1993)"
"68",1784,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.95,"As Good As It Gets (1997)"
"142",223,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.947,"Clerks (1994)"
"121",32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.946,"Twelve Monkeys (1995)"
"58",1954,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.943,"Rocky (1976)"
"184",1220,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.94,"Blues Brothers, The (1980)"
"29",2268,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.931,"Few Good Men, A (1992)"
"109",2599,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.93,"Election (1999)"
"137",3481,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.929,"High Fidelity (2000)"
"50",590,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3.915,"Dances with Wolves (1990)"
"103",2716,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3.906,"Ghostbusters (1984)"
"107",1923,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.904,"There's Something About Mary (1998)"
"23",1028,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.894,"Mary Poppins (1964)"
"143",3160,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.894,"Magnolia (1999)"
"122",34,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.891,"Babe (1995)"
"174",2000,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3.887,"Lethal Weapon (1987)"
"7",595,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.886,"Beauty and the Beast (1991)"
"166",1374,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.881,"Star Trek: The Wrath of Khan (1982)"
"70",1968,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.88,"Breakfast Club, The (1985)"
"146",3751,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88,"Chicken Run (2000)"
"74",1641,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.872,"Full Monty, The (1997)"
"2",3408,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.864,"Erin Brockovich (2000)"
"135",1682,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.862,"Truman Show, The (1998)"
"126",364,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3.861,"Lion King, The (1994)"
"181",1073,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.861,"Willy Wonka and the Chocolate Factory (1971)"
"10",2797,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.856,"Big (1988)"
"3",2355,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.854,"Bug's Life, A (1998)"
"119",2395,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.841,"Rushmore (1998)"
"206",3361,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.837,"Bull Durham (1988)"
"95",3793,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.821,"X-Men (2000)"
"110",1500,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3.813,"Grosse Pointe Blank (1997)"
"114",2890,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.807,"Three Kings (1999)"
"205",11,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3.794,"American President, The (1995)"
"16",588,0,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,3.788,"Aladdin (1992)"
"148",2302,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.785,"My Cousin Vinny (1992)"
"178",3175,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.771,"Galaxy Quest (1999)"
"139",1673,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.77,"Boogie Nights (1997)"
"150",1584,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3.768,"Contact (1997)"
"46",480,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.764,"Jurassic Park (1993)"
"97",2700,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76,"South Park: Bigger, Longer and Uncut (1999)"
"134",1393,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.759,"Jerry Maguire (1996)"
"86",2081,0,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3.757,"Little Mermaid, The (1989)"
"40",3256,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.75,"Patriot Games (1992)"
"128",3753,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,3.745,"Patriot, The (2000)"
"123",357,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.744,"Four Weddings and a Funeral (1994)"
"79",1580,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.74,"Men in Black (1997)"
"118",1732,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,3.738,"Big Lebowski, The (1998)"
"191",3448,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,3.734,"Good Morning, Vietnam (1987)"
"200",1094,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,3.731,"Crying Game, The (1992)"
"195",1396,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,3.728,"Sneakers (1992)"
"62",349,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.726,"Clear and Present Danger (1994)"
"80",733,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.723,"Rock, The (1996)"
"183",2529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.713,"Planet of the Apes (1968)"
"113",1653,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.711,"Gattaca (1997)"
"115",1517,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,"Austin Powers: International Man of Mystery (1997)"
"189",2706,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.71,"American Pie (1999)"
"144",1356,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.709,"Star Trek: First Contact (1996)"
"11",2321,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.697,"Pleasantville (1998)"
"185",2968,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3.694,"Time Bandits (1981)"
"124",2406,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.689,"Romancing the Stone (1984)"
"125",1101,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3.686,"Top Gun (1986)"
"104",1127,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.684,"Abyss, The (1989)"
"31",2916,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.682,"Total Recall (1990)"
"39",3255,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.68,"League of Their Own, A (1992)"
"66",3418,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.68,"Thelma & Louise (1991)"
"93",2987,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.68,"Who Framed Roger Rabbit? (1988)"
"84",2115,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.676,"Indiana Jones and the Temple of Doom (1984)"
"171",3703,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.674,"Mad Max 2 (a.k.a. The Road Warrior) (1981)"
"89",3702,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.664,"Mad Max (1979)"
"167",1376,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.656,"Star Trek IV: The Voyage Home (1986)"
"91",3527,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.654,"Predator (1987)"
"193",2763,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.642,"Thomas Crown Affair, The (1999)"
"65",1527,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.641,"Fifth Element, The (1997)"
"127",597,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.641,"Pretty Woman (1990)"
"61",380,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.634,"True Lies (1994)"
"59",21,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3.624,"Get Shorty (1995)"
"94",39,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3.623,"Clueless (1995)"
"149",3253,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.601,"Wayne's World (1992)"
"158",592,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,3.601,"Batman (1989)"
"106",2291,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.593,"Edward Scissorhands (1990)"
"194",1608,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.588,"Air Force One (1997)"
"15",1721,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3.583,"Titanic (1997)"
"165",2174,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3.568,"Beetlejuice (1988)"
"102",377,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3.565,"Speed (1994)"
"175",2001,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3.545,"Lethal Weapon 2 (1989)"
"48",1370,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.542,"Die Hard 2 (1990)"
"173",2407,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.538,"Cocoon (1985)"
"157",2640,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.537,"Superman (1978)"
"101",3081,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,3.517,"Sleepy Hollow (1999)"
"67",780,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.51,"Independence Day (ID4) (1996)"
"108",3176,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3.503,"Talented Mr. Ripley, The (1999)"
"156",587,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,3.496,"Ghost (1990)"
"161",316,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.49,"Stargate (1994)"
"198",2985,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3.452,"Robocop (1987)"
"197",2455,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,3.441,"Fly, The (1986)"
"28",648,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3.433,"Mission: Impossible (1996)"
"130",2100,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,3.431,"Splash (1984)"
"30",2628,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,3.41,"Star Wars: Episode I - The Phantom Menace (1999)"
"49",1372,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3.41,"Star Trek VI: The Undiscovered Country (1991)"
"132",1573,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.401,"Face/Off (1997)"
"120",2683,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.388,"Austin Powers: The Spy Who Shagged Me (1999)"
"147",3755,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.351,"Perfect Storm, The (2000)"
"179",2011,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3.344,"Back to the Future Part II (1989)"
"82",2617,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,3.322,"Mummy, The (1999)"
"160",2657,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,3.291,"Rocky Horror Picture Show, The (1975)"
"141",367,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,3.279,"Mask, The (1994)"
"180",2012,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,3.242,"Back to the Future Part III (1990)"
"151",3623,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3.196,"Mission: Impossible 2 (2000)"
"56",1917,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.192,"Armageddon (1998)"
"52",736,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,3.174,"Twister (1996)"
"188",1676,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,3.133,"Starship Troopers (1997)"
"38",1544,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,3.037,"Lost World: Jurassic Park, The (1997)"
"190",2710,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3.032,"Blair Witch Project, The (1999)"
"140",2699,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,3.003,"Arachnophobia (1990)"
"168",1377,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,2.977,"Batman Returns (1992)"
"154",2054,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,2.933,"Honey, I Shrunk the Kids (1989)"
"199",1391,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,2.9,"Mars Attacks! (1996)"
